subclass,region,gene,n_clusters,mean,std,cv
Sncg,ALM,Hrh1,4,0.08025218979418229,0.09168942002711591,1.1425018776482658
Sncg,ALM,Hrh2,4,0.3239258315194593,0.05587368643102181,0.17248860234557414
Sncg,ALM,Hrh3,4,0.2015275144893494,0.053682659579449316,0.26637748864211663
Sncg,ALM,Adora1,4,0.012865095551698527,0.004793370860852592,0.372558313560775
Sncg,ALM,Adora2a,4,0.009249502602195432,0.012906129864891376,1.3951814749858402
Sncg,ALM,Cnr1,4,3.9947086007159998,0.1635504067588519,0.04094175124257784
Sncg,ALM,Oprd1,4,0.0,0.0,0.0
Sncg,ALM,Oprk1,4,0.0,0.0,0.0
Sncg,ALM,Oprm1,4,0.07967990825735373,0.04004374809725905,0.5025513510454171
Sncg,ALM,Npy1r,4,0.7339527787183087,0.10071784845895901,0.13722641858298068
Sncg,ALM,Npy2r,4,0.7715175566464264,0.7008612377095518,0.9084178619837712
Serpinf1,VISp,Drd1,2,,,
Serpinf1,VISp,Drd2,2,,,
Serpinf1,VISp,Drd4,2,,,
Serpinf1,VISp,Drd5,2,,,
Serpinf1,VISp,Htr1a,2,,,
Serpinf1,VISp,Htr1b,2,,,
Serpinf1,VISp,Htr1d,2,,,
Serpinf1,VISp,Htr1f,2,,,
Serpinf1,VISp,Htr2a,2,,,
Serpinf1,VISp,Htr2c,2,,,
Serpinf1,VISp,Htr3a,2,,,
Serpinf1,VISp,Htr4,2,,,
Serpinf1,VISp,Htr6,2,,,
Serpinf1,VISp,Htr7,2,,,
Serpinf1,VISp,Chrm1,2,,,
Serpinf1,VISp,Chrm2,2,,,
Serpinf1,VISp,Chrm3,2,,,
Serpinf1,VISp,Chrm4,2,,,
Serpinf1,VISp,Chrm5,2,,,
Serpinf1,VISp,Chrna2,2,,,
Serpinf1,VISp,Chrna4,2,,,
Serpinf1,VISp,Chrna5,2,,,
Serpinf1,VISp,Chrna7,2,,,
Serpinf1,VISp,Chrnb2,2,,,
Serpinf1,VISp,Adra1a,2,,,
Serpinf1,VISp,Adra1b,2,,,
Serpinf1,VISp,Adra2a,2,,,
Serpinf1,VISp,Adra2c,2,,,
Serpinf1,VISp,Adrb1,2,,,
Serpinf1,VISp,Adrb2,2,,,
Serpinf1,VISp,Hrh1,2,,,
Serpinf1,VISp,Hrh2,2,,,
Serpinf1,VISp,Hrh3,2,,,
Serpinf1,VISp,Adora1,2,,,
Serpinf1,VISp,Adora2a,2,,,
Serpinf1,VISp,Cnr1,2,,,
Serpinf1,VISp,Oprd1,2,,,
Serpinf1,VISp,Oprk1,2,,,
Serpinf1,VISp,Oprm1,2,,,
Serpinf1,VISp,Npy1r,2,,,
Serpinf1,VISp,Npy2r,2,,,
Serpinf1,ALM,Drd1,2,0.15821120593583168,0.09206997243717105,0.5819397554858261
Serpinf1,ALM,Drd2,2,0.05943692387255951,0.024887225879659868,0.4187095419587739
Serpinf1,ALM,Drd4,2,0.006802258758594196,0.006802258758594196,0.9998530116175962
Serpinf1,ALM,Drd5,2,0.0,0.0,0.0
Serpinf1,ALM,Htr1a,2,0.11389879962844128,0.109903883528905,0.9649172684010721
Serpinf1,ALM,Htr1b,2,0.0,0.0,0.0
Serpinf1,ALM,Htr1d,2,0.0,0.0,0.0
Serpinf1,ALM,Htr1f,2,0.4024575895800628,0.10035523544282837,0.24935543194031964
Serpinf1,ALM,Htr2a,2,0.1916878969776373,0.10478565817335019,0.5466443796459146
Serpinf1,ALM,Htr2c,2,0.2790457826784145,0.08277997425510429,0.2966526740088005
Serpinf1,ALM,Htr3a,2,0.9189078873099508,0.006792842259533083,0.0073922913940017605
Serpinf1,ALM,Htr4,2,0.022806917463588035,0.022806917463588035,0.9999561555761679
Serpinf1,ALM,Htr6,2,0.010888023210196617,0.009643069695682824,0.8855771091251724
Serpinf1,ALM,Htr7,2,0.09140966190783117,0.016281106450691765,0.17810949085028951
Serpinf1,ALM,Chrm1,2,0.20709006477559055,0.08195523430817044,0.3957449076664864
Serpinf1,ALM,Chrm2,2,0.0,0.0,0.0
Serpinf1,ALM,Chrm3,2,0.18159722129457573,0.0169772142983204,0.09348777855473138
Serpinf1,ALM,Chrm4,2,0.011802469567826893,0.011802469567826893,0.9999152791478596
Serpinf1,ALM,Chrm5,2,0.0,0.0,0.0
Serpinf1,ALM,Chrna2,2,0.01132949723552354,0.01132949723552354,0.9999117426200093
Serpinf1,ALM,Chrna4,2,0.3129373927514197,0.16556742525244955,0.5290735463831913
Serpinf1,ALM,Chrna5,2,0.2588158143472042,0.22855208949275327,0.8830650746908174
Serpinf1,ALM,Chrna7,2,0.16172961442963762,0.0473678560133082,0.2928811974180437
Serpinf1,ALM,Chrnb2,2,0.1851077018633664,0.04903274498652156,0.26488622356994285
Serpinf1,ALM,Adra1a,2,0.20474355775277003,0.0945889623734471,0.46198523375485123
Serpinf1,ALM,Adra1b,2,0.3885760523986788,0.2840671622928414,0.731044616606411
Serpinf1,ALM,Adra2a,2,0.11910323094854991,0.040172182648168964,0.3372859412989481
Serpinf1,ALM,Adra2c,2,0.06709874306524143,0.008553343970440275,0.12747208230177295
Serpinf1,ALM,Adrb1,2,0.02581794317183629,0.02581794317183629,0.9999612687477816
Serpinf1,ALM,Adrb2,2,0.0,0.0,0.0
Serpinf1,ALM,Hrh1,2,0.05399121860944701,0.05399121860944701,0.9999814788125816
Serpinf1,ALM,Hrh2,2,0.30324686049105487,0.0692267827517356,0.22828448860161915
