roi_a_idx,roi_b_idx,dist_um,noise_corr,signal_corr,total_corr,cx_a,cy_a,cx_b,cy_b
974,1172,36.447088216336994,0.67039067,0.108820304,0.22227302,225.89746,-189.01924,221.52948,-152.83484
0,15,45.64280836637052,0.66619927,0.24344999,0.1527646,-468.5371,-177.87436,-443.10037,-139.97662
722,858,17.91633040691104,0.65633047,0.60841197,0.15869965,438.01184,340.26886,432.1621,357.2033
521,552,38.25936487331909,0.6561877,0.64762473,0.08979073,246.48523,-126.28032,278.51562,-105.355865
558,827,33.19566591663197,0.6559758,0.6492151,0.20169589,308.48376,2.2590332,320.16748,-28.812546
939,991,46.87293959772837,0.65461415,0.5510961,0.18732059,217.97333,-112.978584,264.58197,-108.00798
450,1000,46.86357982915905,0.6544029,0.44143826,0.35352635,128.14355,317.17627,84.46741,300.18835
560,938,29.853339218767104,0.65292645,0.3643009,0.35529032,280.0559,35.500854,280.86035,65.34335
64,1214,36.61559268670082,0.65219384,0.6375917,0.305637,-327.12823,77.708374,-297.57764,56.087463
504,505,28.89162482460095,0.6515305,0.93282264,0.27168366,225.27557,118.08423,222.23517,146.81543
781,789,32.94048702524264,0.6503659,0.78765756,0.64925456,597.34985,-127.81422,601.2544,-95.10596
108,1226,11.211855640804078,0.6502544,0.5666994,0.6153369,-277.4734,316.35095,-271.56808,325.8816
596,827,32.24683483804433,0.6502453,0.785019,0.3110618,349.5044,-15.425842,320.16748,-28.812546
781,787,29.07600187726859,0.64970446,0.38253602,0.417762,597.34985,-127.81422,606.8198,-155.30482
110,988,20.237366335757034,0.64751375,-0.34998184,0.36697865,-254.7801,-223.94621,-235.04387,-228.42192
174,204,45.59581198681624,0.6469218,0.52762705,0.73154056,-187.1417,-228.2313,-141.54651,-228.47054
793,1256,44.4481746896011,0.64470613,0.40314564,0.48021987,564.1245,371.002,519.71985,369.03577
174,988,47.90255520665634,0.6432011,0.18727504,0.63017356,-187.1417,-228.2313,-235.04387,-228.42192
625,661,21.23829342256516,0.6430024,0.55132574,0.152718,377.20245,-128.54288,398.30267,-126.12506
791,972,10.224736711543507,0.64163935,0.12686947,0.13414763,573.9806,130.34473,576.2637,140.31131
503,875,38.47057707416047,0.64126074,-0.03139736,0.12014355,204.98877,79.15967,233.59467,53.43637
179,943,42.368430240851076,0.63945246,0.22510368,0.050250504,-185.02316,-44.957657,-217.185,-72.53845
357,1012,27.030446940290766,0.63720447,0.23672515,0.20000356,62.35205,-203.71783,40.666748,-219.85452
732,1107,27.247278237937216,0.63200307,0.44403782,0.19751337,493.35754,3.057022,519.6105,-4.236664
526,527,8.160773644837937,0.62582177,0.8300666,0.15516873,259.3415,-58.605408,257.64734,-50.62242
473,507,31.582860972514087,0.61927366,0.90675026,0.127753,200.66077,167.96432,217.5473,194.65369
68,69,24.660649722972746,0.61892384,0.83858496,0.2590557,-322.9091,160.85986,-321.5302,185.48193
110,112,16.86509918356537,0.6174069,-0.23886508,0.2590926,-254.7801,-223.94621,-239.53818,-216.72713
296,1065,20.247185050653233,0.6166663,0.41459164,0.44635856,-20.091125,-211.96991,-38.15335,-221.11893
787,1288,49.97020340931348,0.6154855,0.56488764,0.18894243,606.8198,-155.30482,604.3855,-205.2157
575,576,17.74965745428419,0.61544317,0.22562326,0.4196846,306.088,272.03833,289.42908,265.91214
1138,1199,20.986662565688885,0.6150563,0.20988142,0.105469316,200.3504,274.4725,207.56781,294.17908
409,448,26.712548945440226,0.6115374,0.70325494,0.060911797,112.688965,271.21036,139.38708,270.3325
606,642,31.747930926061628,0.61122525,-0.028969005,0.2903251,332.23108,121.83038,362.64,112.70746
446,933,38.76761007901017,0.61035734,0.22417192,0.49124634,141.90466,230.15814,110.25183,207.77454
190,1209,37.13818836465408,0.6091906,0.35371092,0.18810895,-171.68683,146.62811,-163.38535,110.42963
297,329,42.82012425050358,0.6090422,0.42374057,0.12034852,-22.987396,-152.21664,14.739838,-131.96278
641,642,20.43937180646913,0.6089624,0.103278786,0.3241339,376.8432,127.40567,362.64,112.70746
723,1260,29.721464405499066,0.60861623,0.7600771,0.43465212,494.49573,-209.92989,523.95044,-213.90297
939,1172,40.014587945514904,0.6073423,0.2183363,0.050213825,217.97333,-112.978584,221.52948,-152.83484
798,951,43.50590213319709,0.60618323,0.8795684,0.22801407,76.67676,289.43964,99.66406,252.50256
1056,1155,39.984904822017015,0.6059827,-0.24399792,0.16763476,360.94904,-56.04077,321.46753,-49.715958
222,223,9.552717080741145,0.6050456,0.45436388,0.05629353,-145.87091,155.48141,-155.28821,157.0842
533,938,11.210820299958154,0.6047492,-0.64946985,0.21505842,269.9652,67.985016,280.86035,65.34335
503,981,17.95085780535974,0.60416937,-0.18645217,0.14601962,204.98877,79.15967,196.68225,63.246307
725,759,46.226633567337984,0.60287935,0.4727432,0.27117026,508.98615,-159.79039,549.67896,-181.72203
