id,created,superceded_id,valid,valid_id,status_dendrite,status_axon,strategy_dendrite,strategy_axon,pt_supervoxel_id,pt_root_id,pt_position,soma_x_um,soma_y_um,soma_z_um
540,2024-06-03 19:45:52.875625+00:00,,True,864691135995711402,True,True,dendrite_extended,axon_partially_extended,88392489408924775,864691135995711402,[171952 130464  21938],687.808,521.856,877.52
551,2024-06-03 19:45:52.882964+00:00,,True,864691135775906989,True,True,dendrite_extended,axon_interareal,106342840627890715,864691135775906989,[302290 177709  16296],1209.16,710.836,651.84
553,2024-06-03 19:45:52.884294+00:00,,True,864691136904366770,True,True,dendrite_extended,axon_partially_extended,91925838945129942,864691136904366770,[197504 241840  23068],790.016,967.36,922.72
567,2024-06-03 19:45:52.893389+00:00,,True,864691136136778621,True,True,dendrite_clean,axon_interareal,107249044702858538,864691136136778621,[309145 113377  18584],1236.58,453.508,743.36
2353,2024-11-16 22:13:19.704771+00:00,,True,864691136489055762,True,True,dendrite_extended,axon_partially_extended,93391143676653345,864691136489055762,[208096 148896  18072],832.384,595.584,722.88
2354,2024-11-16 22:13:19.705434+00:00,,True,864691135271463077,True,True,dendrite_extended,axon_partially_extended,94940011962867590,864691135271463077,[219280 154800  18130],877.12,619.2,725.2
4596,2025-11-17 21:56:20.337906+00:00,,True,864691135810308125,True,True,dendrite_extended,axon_fully_extended,101055633209782958,864691135810308125,[264064 106496  19221],1056.256,425.984,768.84
581,2024-06-03 19:45:52.902554+00:00,,True,864691135927647956,True,True,dendrite_clean,axon_interareal,112670461795715735,864691135927647956,[348448 136208  19603],1393.792,544.832,784.12
2382,2024-11-18 19:18:36.171736+00:00,,True,864691136578982164,True,True,dendrite_extended,axon_fully_extended,104017511779444058,864691136578982164,[285424 154224  22492],1141.696,616.896,899.68
585,2024-06-03 19:45:52.905128+00:00,,True,864691135455123562,True,True,dendrite_clean,axon_interareal,111120425546990027,864691135455123562,[337008 121888  21747],1348.032,487.552,869.88
594,2024-06-03 19:45:52.911056+00:00,,True,864691135719761713,True,True,dendrite_clean,axon_interareal,107389576301082133,864691135719761713,[309840 112112  20525],1239.36,448.448,821.0
609,2024-06-03 19:45:52.920794+00:00,,True,864691136084313196,True,True,dendrite_extended,axon_interareal,104653717097226174,864691136084313196,[289859 175441  25125],1159.436,701.764,1005.0
631,2024-06-03 19:45:52.935283+00:00,,True,864691135772774651,True,True,dendrite_extended,axon_partially_extended,88888162860332363,864691135772774651,[175616 153472  20823],702.464,613.888,832.92
2357,2024-11-16 22:34:02.123774+00:00,,True,864691136967634382,True,True,dendrite_clean,axon_partially_extended,89452762080968055,864691136967634382,[179520 165856  20633],718.08,663.424,825.32
3191,2025-02-17 20:13:30.477250+00:00,,True,864691135492371303,True,True,dendrite_extended,axon_partially_extended,90940539021131299,864691135492371303,[190432 240736  23039],761.728,962.944,921.56
4597,2025-11-17 21:56:20.338596+00:00,,True,864691135134695328,True,True,dendrite_extended,axon_fully_extended,109572175735990954,864691135134695328,[325680 120720  21626],1302.72,482.88,865.04
645,2024-06-03 19:45:52.944391+00:00,,True,864691136137794941,True,True,dendrite_clean,axon_partially_extended,91428722049408248,864691136137794941,[193632 207584  21793],774.528,830.336,871.72
