idx_a,idx_b,dist_um,syn_ab,syn_ba,syn_total,root_id_a,root_id_b
1564,1626,10.386776208237102,0,0,0,864691136814180211,864691136275166398
1472,2264,10.392812901231267,0,0,0,864691135853088967,864691135840033171
1277,1834,10.407935434081008,0,0,0,864691135917058150,864691135866910428
960,1267,10.426995732232774,0,0,0,864691135133991072,864691135577208606
1501,1792,10.42857612524353,0,0,0,864691135656578242,864691135779629245
1076,1539,10.442313919816808,0,0,0,864691135717299738,864691135941975974
1111,1441,10.448701354713922,0,0,0,864691134949248508,864691135280481697
625,1224,10.464834829083554,0,0,0,864691135659140738,864691135756460754
156,1589,10.467717993908781,0,0,0,864691135585266808,864691135941829121
1337,1406,10.48604405865247,0,0,0,864691135384404954,864691135750642473
770,1354,10.48758504137144,0,0,0,864691136742708828,864691136991901845
509,1784,10.51618790246741,0,0,0,864691136042462038,864691135493051879
1208,1214,10.52251528865597,0,0,0,864691135499283987,864691135214643256
971,975,10.533591220471683,0,0,0,864691135493665631,864691135465343045
924,2146,10.54466765716206,0,0,0,864691135919749808,864691135343923633
1884,2252,10.551281249213316,0,0,0,864691135732318393,864691134887552506
196,1177,10.56775472841794,0,0,0,864691135082074359,864691135476581440
518,1619,10.571678390870572,0,0,0,864691135773073147,864691135496440208
193,2235,10.577839476944256,0,0,0,864691135969582181,864691135955962888
1074,1971,10.578411222863346,0,0,0,864691136288644291,864691135695057855
1157,1778,10.5963978785246,0,0,0,864691136742470492,864691135866751870
1233,1818,10.597125648023617,0,0,0,864691136196202472,864691135742756203
561,1103,10.601433865284397,0,0,0,864691135276234469,864691135347725215
285,1045,10.607215657277886,0,0,0,864691135617409385,864691135720061233
880,1301,10.6083046713412,0,0,0,864691135941549825,864691136041000190
725,1150,10.609704237159514,0,0,0,864691135342541509,864691135662825456
246,558,10.623240936738672,0,0,0,864691135480800198,864691135398817569
1827,1883,10.627770415284663,0,0,0,864691136620636045,864691134966495519
1160,1213,10.627902897561727,0,0,0,864691136579434260,864691135477841320
1070,1672,10.63239427410401,0,0,0,864691136228491601,864691135214986368
972,2246,10.632863772286358,0,0,0,864691134918921738,864691135783308368
575,2238,10.633634185921599,0,0,0,864691135801463650,864691136331247338
1198,1381,10.637304921830559,0,0,0,864691136927176778,864691135350542039
827,1165,10.63960600774288,0,0,0,864691136674495623,864691135430859056
733,769,10.640757867746007,0,0,0,864691136953631711,864691136125985318
991,2149,10.643406973333336,0,0,0,864691135763549238,864691135764946742
2218,2226,10.648697197310117,0,0,0,864691136381346005,864691135295330828
735,956,10.653263912998616,0,0,0,864691135473540914,864691135591726603
1187,1837,10.662319447474777,0,0,0,864691135510846217,864691136177632518
1320,1852,10.663360821054452,0,0,0,864691135655894978,864691137056393846
1993,2158,10.67633570097901,0,0,0,864691135774179147,864691136968687310
455,1501,10.713696654283282,0,0,0,864691135970226021,864691135656578242
1285,1791,10.725789481432113,0,0,0,864691135842794979,864691135431591728
1726,2061,10.728010439965082,0,0,0,864691135928029966,864691136288755395
366,666,10.729026050858526,0,0,0,864691135492308071,864691136057790424
